classification,latency,peak_iops,Used,Allocated,Snap,Free,Capacity,Orphaned,collection_date,formatted_collection_date,client_id
DR,0.161612,12922.86,141371.1,0.0,0.0,0.0,0.0,0.0,2020-01-05,01/05/2020,137
Prod-iSeries,1.45,17006.97,153716.17,0.0,0.0,0.0,0.0,0.0,2020-01-05,01/05/2020,137
Prod-Open,0.0,31498.85,153967.75,0.0,0.0,0.0,0.0,0.0,2020-01-05,01/05/2020,137
DR,0.217194,19183.24,142449.2,0.0,0.0,0.0,0.0,0.0,2020-01-12,01/12/2020,137
Prod-iSeries,1.47,17155.58,154262.8,0.0,0.0,0.0,0.0,0.0,2020-01-12,01/12/2020,137
Prod-Open,0.0,30130.42,152994.62,0.0,0.0,0.0,0.0,0.0,2020-01-12,01/12/2020,137
DR,0.200638,18543.16,142133.73,0.0,0.0,0.0,0.0,0.0,2020-01-19,01/19/2020,137
Prod-iSeries,1.46,14885.92,154159.64,0.0,0.0,0.0,0.0,0.0,2020-01-19,01/19/2020,137
Prod-Open,0.0,29784.12,152660.85,0.0,0.0,0.0,0.0,0.0,2020-01-19,01/19/2020,137
DR,0.134806,8084.54,141942.8,0.0,0.0,0.0,0.0,0.0,2020-01-26,01/26/2020,137
Prod-iSeries,1.17,5506.52,153533.29,0.0,0.0,0.0,0.0,0.0,2020-01-26,01/26/2020,137
Prod-Open,0.0,35690.89,152291.1,0.0,0.0,0.0,0.0,0.0,2020-01-26,01/26/2020,137
DR,0.190564,27626.78,113038.2,0.0,0.0,0.0,0.0,0.0,2019-01-27,01/27/2019,137
Prod-iSeries,1.53,28055.17,154523.3,0.0,0.0,0.0,0.0,0.0,2019-01-27,01/27/2019,137
Prod-Open,0.0,36879.67,123196.29,0.0,0.0,0.0,0.0,0.0,2019-01-27,01/27/2019,137
DR,0.110634,48668.5,116937.63,0.0,0.0,0.0,0.0,0.0,2019-02-03,02/03/2019,137
Prod-iSeries,1.33,26946.15,154662.3,0.0,0.0,0.0,0.0,0.0,2019-02-03,02/03/2019,137
Prod-Open,0.0,40089.5,120953.53,0.0,0.0,0.0,0.0,0.0,2019-02-03,02/03/2019,137
DR,0.14337,34139.54,138476.5,0.0,0.0,0.0,0.0,0.0,2019-02-10,02/10/2019,137
Prod-iSeries,1.44,26625.48,154278.2,0.0,0.0,0.0,0.0,0.0,2019-02-10,02/10/2019,137
Prod-Open,0.0,38738.58,119849.43,0.0,0.0,0.0,0.0,0.0,2019-02-10,02/10/2019,137
DR,0.182558,28471.7,139179.4,0.0,0.0,0.0,0.0,0.0,2019-02-17,02/17/2019,137
Prod-iSeries,1.48,27309.11,154332.3,0.0,0.0,0.0,0.0,0.0,2019-02-17,02/17/2019,137
Prod-Open,0.0,39549.33,123350.54,0.0,0.0,0.0,0.0,0.0,2019-02-17,02/17/2019,137
DR,0.204682,27538.84,140205.02,0.0,0.0,0.0,0.0,0.0,2019-02-24,02/24/2019,137
Prod-iSeries,1.36,27570.58,154248.9,0.0,0.0,0.0,0.0,0.0,2019-02-24,02/24/2019,137
Prod-Open,0.0,38814.5,117559.79,0.0,0.0,0.0,0.0,0.0,2019-02-24,02/24/2019,137
DR,0.175272,27674.54,140138.96,0.0,0.0,0.0,0.0,0.0,2019-03-03,03/03/2019,137
Prod-iSeries,1.5,27414.91,154532.3,0.0,0.0,0.0,0.0,0.0,2019-03-03,03/03/2019,137
Prod-Open,0.0,40465.5,118744.36,0.0,0.0,0.0,0.0,0.0,2019-03-03,03/03/2019,137
DR,0.0,5385.0,139003.47,0.0,0.0,0.0,0.0,0.0,2019-03-10,03/10/2019,137
Prod-Open,0.0,41140.83,119025.53,0.0,0.0,0.0,0.0,0.0,2019-03-10,03/10/2019,137
DR,0.153312,22491.28,140899.0,0.0,0.0,0.0,0.0,0.0,2019-03-17,03/17/2019,137
Prod-iSeries,1.15,15305.46,154437.0,0.0,0.0,0.0,0.0,0.0,2019-03-17,03/17/2019,137
