classification,device_type_code,device_type_description,cpu_util,latency_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,62.96,197.37,31.9,542.21,137,1467
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.13,202.06,76.28,434.77,137,1467
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,47.93,195.93,24.46,48.15,137,1468
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,147.67,191.21,77.23,152.62,137,1468
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,62.96,197.35,31.9,542.21,137,1469
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,47.65,195.89,24.33,47.92,137,1469
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.35,202.07,76.39,434.77,137,1469
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,146.69,191.09,76.76,151.75,137,1469
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,62.98,197.38,31.91,542.21,137,1470
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.42,202.04,76.43,434.77,137,1470
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.01,197.34,31.93,542.21,137,1471
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,50.58,195.93,25.81,50.8,137,1471
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.43,202.07,76.42,434.77,137,1471
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,149.2,191.04,78.09,154.31,137,1471
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,62.99,197.37,31.91,542.21,137,1474
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,50.38,195.9,25.72,50.65,137,1474
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.92,202.06,76.17,434.77,137,1474
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,147.15,190.76,77.14,152.56,137,1474
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,62.99,197.37,31.92,542.21,137,1476
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,51.32,195.91,26.19,51.56,137,1476
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.51,202.06,76.47,434.77,137,1476
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,149.32,190.14,78.53,155.33,137,1476
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.0,197.37,31.92,542.21,137,1478
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,50.54,195.89,25.8,50.8,137,1478
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.37,202.07,76.4,434.77,137,1478
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,124.8,190.93,65.36,130.03,137,1478
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.35,197.37,32.1,542.21,137,1481
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,51.72,195.92,26.4,51.96,137,1481
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.99,202.06,76.21,434.77,137,1481
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,121.51,191.13,63.57,126.54,137,1481
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.37,197.37,32.11,542.21,137,1483
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,50.96,195.9,26.02,51.22,137,1483
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.0,202.06,76.21,434.77,137,1483
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,122.28,191.49,63.86,126.95,137,1483
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.39,197.38,32.12,542.21,137,1485
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,49.65,195.91,25.34,49.9,137,1485
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.52,202.07,76.47,434.77,137,1485
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,123.2,192.21,64.1,127.15,137,1485
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.49,197.38,32.17,542.21,137,1488
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,49.72,195.99,25.37,49.89,137,1488
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.99,202.05,76.71,434.77,137,1488
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,120.05,191.8,62.59,124.4,137,1488
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.42,197.37,32.13,542.21,137,1490
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,49.32,195.95,25.17,49.52,137,1490
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.24,202.07,76.33,434.77,137,1490
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,119.51,191.92,62.27,123.75,137,1490
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.41,197.37,32.13,542.21,137,1492
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,53.53,195.91,27.32,53.77,137,1492
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.66,202.06,76.54,434.77,137,1492
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,120.95,192.39,62.87,124.72,137,1492
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.46,197.37,32.15,542.21,137,1495
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,67.46,194.91,34.61,68.71,137,1495
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.96,202.06,76.2,434.77,137,1495
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,118.89,192.17,61.87,122.88,137,1495
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.46,197.37,32.16,542.21,137,1497
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,74.94,194.48,38.53,76.61,137,1497
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.74,202.07,76.58,434.77,137,1497
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,120.08,192.21,62.47,124.03,137,1497
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.46,197.37,32.15,542.21,137,1499
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,75.02,194.82,38.51,76.36,137,1499
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.28,202.06,76.35,434.77,137,1499
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,119.85,192.5,62.26,123.51,137,1499
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.5,197.37,32.17,542.21,137,1502
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,76.63,195.01,39.29,77.77,137,1502
