device_type_code,upload_id,wwn,host_name,total_lun_size,total_lun_used,luns_attached,latency,iops,device_name,host_os,host_type,last_backup,machine_type,total_stored_gb,count,client_id,period_id
CLUSTER,120531,500507680C001772,AHLENGTXPLA_Cluster,1000.0,1000.0,7,2.68,18.11,AHISSVC,,Physical,,,,1,188,1468
CLUSTER,120531,500507680C001772,AHPHESX_Cluster,3400.0,3400.0,5,1.23,102.28,AHISSVC,Vmware,Physical,,,,1,188,1468
CLUSTER,120531,500507680C001772,AHSHESX_Cluster,3400.0,3400.0,5,0.79,332.12,AHISSVC,Vmware,Physical,,,,1,188,1468
CLUSTER,120531,500507680C001772,AHSWPH_Cluster,900.0,900.0,3,1.66,498.7,AHISSVC,Vmware,Physical,,,,1,188,1468
CLUSTER,120531,500507680C001772,AHSWSH_Cluster,7072.0,7072.0,8,0.65,3785.72,AHISSVC,Vmware,Physical,,,,1,188,1468
CLUSTER,120531,500507680C001772,AHSWSM_Cluster,600.0,600.0,3,1.54,210.02,AHISSVC,Vmware,Physical,,,,1,188,1468
CLUSTER,120531,500507680C001772,AHVHYPTXPLA_Cluster,185130.0,185130.0,66,1.890952,23538.67,AHISSVC,Windows?,Physical,,,,1,188,1468
CLUSTER,120531,500507680C001772,AHVHYPTXPLA100_Cluster,41474.0,41474.0,44,2.02,816.0,AHISSVC,Windows?,Physical,,,,1,188,1468
CLUSTER,120531,500507680C001772,AHVHYPTXPLA150_Cluster,40457.0,40457.0,20,4.61,1170.5,AHISSVC,Windows?,Physical,,,,1,188,1468
HOST,120531,500507680C001772,AHATHFTP01,200.0,200.0,2,0.43,0.12,AHISSVC,,Physical,,,,1,188,1468
HOST,120531,500507680C001772,ahcpua-01756051,1158.58,1158.58,12,3.15,122.94,AHISSVC,-,Physical,,,,1,188,1468
HOST,120531,500507680C001772,AHCPUB,627.98,627.98,8,3.48,2.41,AHISSVC,,Physical,,,,1,188,1468
HOST,120531,500507680C001772,AHHPNADBPRDPTC01,500.0,500.0,2,0.9,70.65,AHISSVC,,Physical,,,,1,188,1468
HOST,120531,500507680C001772,ahiowa-45581468,545.0,545.0,7,2.57,4.6,AHISSVC,-,Physical,,,,1,188,1468
HOST,120530,500507680C007D80,AHISTEST-89058534,630.0,541.86,9,0.41,156.28,SVCP8,-,Physical,,,,1,188,1468
HOST,120530,500507680C007D80,AHIVIOS1,300.0,300.0,1,0.35,2.01,SVCP8,-,Physical,,,,1,188,1468
HOST,120531,500507680C001772,AHLAXVIOS1,600.0,600.0,2,0.67,1.96,AHISSVC,-,Physical,,,,1,188,1468
HOST,120531,500507680C001772,AHLAXVIOS2,600.0,600.0,2,0.33,1.94,AHISSVC,-,Physical,,,,1,188,1468
HOST,120531,500507680C001772,AHLAXVIOS3,600.0,600.0,2,0.67,1.99,AHISSVC,-,Physical,,,,1,188,1468
HOST,120531,500507680C001772,AHLAXVIOS4,600.0,600.0,2,0.67,2.03,AHISSVC,-,Physical,,,,1,188,1468
HOST,120531,500507680C001772,AHLDLPPTXPLA01,2200.0,2200.0,9,1.04,256.84,AHISSVC,,Physical,,,,1,188,1468
HOST,120531,500507680C001772,AHLENGTXPLA098,0.0,0.0,0,,0.0,AHISSVC,-,Physical,,,,1,188,1468
HOST,120531,500507680C001772,AHLENGTXPLA101,1000.0,1000.0,6,2.68,18.11,AHISSVC,,Physical,,,,1,188,1468
HOST,120531,500507680C001772,AHLENGTXPLA102,1000.0,1000.0,6,2.8,13.65,AHISSVC,-,Physical,,,,1,188,1468
HOST,120531,500507680C001772,AHLHPMDBDEVPTC01,2960.0,2960.0,9,0.95,4.04,AHISSVC,,Physical,,,,1,188,1468
HOST,120531,500507680C001772,AHLHPMDBPRDPTC01,4460.0,4460.0,11,0.48,136.93,AHISSVC,,Physical,,,,1,188,1468
HOST,120531,500507680C001772,AHLNATTXPLA01,100.0,100.0,1,0.6,0.0,AHISSVC,-,Physical,,,,1,188,1468
HOST,120531,500507680C001772,AHNIM1,600.02,600.02,6,2.31,2.06,AHISSVC,,Physical,,,,1,188,1468
HOST,120531,500507680C001772,ahpatcombap01-94142757,1100.0,1100.0,10,4.06,3.21,AHISSVC,-,Physical,,,,1,188,1468
HOST,120533,10.155.130.81,ahphcl02,100.1,100.1,1,,0.0,10.155.130.81,-,Virtual,,,,1,188,1468
HOST,120533,10.155.130.81,ahphemar01,50.1,50.1,1,,0.0,10.155.130.81,-,Virtual,,,,1,188,1468
HOST,120533,10.155.130.81,ahphemar02,50.1,50.1,1,,0.0,10.155.130.81,-,Virtual,,,,1,188,1468
HOST,120533,10.155.130.81,ahphemar03,50.1,50.1,1,,0.0,10.155.130.81,-,Virtual,,,,1,188,1468
HOST,120533,10.155.130.81,ahphemartrn1,50.09,50.09,1,,0.0,10.155.130.81,-,Virtual,,,,1,188,1468
