classification,latency,peak_iops,Used,Allocated,Snap,Free,Capacity,Orphaned,collection_date,formatted_collection_date,client_id
SAN,2.057595,96562.53,472570.31,0.0,0.0,0.0,0.0,0.0,2020-01-05,01/05/2020,188
SAN,2.132166,111530.19,472745.06,0.0,0.0,0.0,0.0,0.0,2020-01-12,01/12/2020,188
SAN,2.382414,117388.38,472725.86,0.0,0.0,0.0,0.0,0.0,2020-01-19,01/19/2020,188
SAN,1.842174,83117.4,472662.11,0.0,0.0,0.0,0.0,0.0,2020-01-26,01/26/2020,188
SAN,3.436185,240920.35,554510.5,0.0,0.0,0.0,0.0,0.0,2019-01-27,01/27/2019,188
SAN,2.69281,213607.35,554689.8,0.0,0.0,0.0,0.0,0.0,2019-02-03,02/03/2019,188
SAN,2.63377,220716.15,554718.6,0.0,0.0,0.0,0.0,0.0,2019-02-10,02/10/2019,188
SAN,3.07108,212172.35,555022.8,0.0,0.0,0.0,0.0,0.0,2019-02-17,02/17/2019,188
SAN,5.656275,250192.3,555034.2,0.0,0.0,0.0,0.0,0.0,2019-02-24,02/24/2019,188
SAN,4.22886,255080.25,528546.8,0.0,0.0,0.0,0.0,0.0,2019-03-03,03/03/2019,188
SAN,3.611895,277925.0,528638.5,0.0,0.0,0.0,0.0,0.0,2019-03-10,03/10/2019,188
SAN,3.347815,257081.2,528696.6,0.0,0.0,0.0,0.0,0.0,2019-03-17,03/17/2019,188
SAN,3.62701,263036.6,528726.7,0.0,0.0,0.0,0.0,0.0,2019-03-24,03/24/2019,188
SAN,4.2378,207577.0,528747.2,0.0,0.0,0.0,0.0,0.0,2019-03-31,03/31/2019,188
SAN,3.343945,224754.35,528830.0,0.0,0.0,0.0,0.0,0.0,2019-04-07,04/07/2019,188
SAN,4.037245,207797.65,530189.2,0.0,0.0,0.0,0.0,0.0,2019-04-14,04/14/2019,188
SAN,2.634415,188078.15,532182.7,0.0,0.0,0.0,0.0,0.0,2019-04-21,04/21/2019,188
SAN,2.435785,177068.15,532766.0,0.0,0.0,0.0,0.0,0.0,2019-04-28,04/28/2019,188
SAN,2.57692,185484.8,532994.1,0.0,0.0,0.0,0.0,0.0,2019-05-05,05/05/2019,188
SAN,2.26338,212100.15,533009.8,0.0,0.0,0.0,0.0,0.0,2019-05-12,05/12/2019,188
