classification,ttl_latency_capacity,ttl_iops_capacity,ttl_mbsec_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,ttl_iops,ttl_latency,client_id,period_id
NAS,10.0,40000.0,2000.0,1.5,25.35,45.83,55.33,25.35,0.0,0.0,188,1468
SAN,5.0,1000000.0,22000.0,2.5,1280.04,1532.44,83.53,1306.65,59415.63,0.97,188,1468
NAS,10.0,40000.0,2000.0,1.5,25.35,45.83,55.33,25.35,0.0,0.0,188,1470
SAN,5.0,1000000.0,22000.0,2.5,1280.37,1532.44,83.55,1306.65,64068.89,1.44,188,1470
NAS,10.0,40000.0,2000.0,1.5,25.35,45.83,55.33,25.35,0.0,0.0,188,1473
SAN,5.0,1000000.0,22000.0,2.5,1280.06,1532.44,83.53,1306.65,55661.22,1.08,188,1473
NAS,10.0,40000.0,2000.0,1.5,25.35,45.83,55.33,25.35,0.0,0.0,188,1475
SAN,5.0,1000000.0,22000.0,2.5,1280.07,1532.44,83.53,1306.65,55933.61,0.89,188,1475
NAS,10.0,40000.0,2000.0,1.5,25.35,45.83,55.33,25.35,0.0,0.0,188,1477
SAN,5.0,1000000.0,22000.0,2.5,1280.07,1532.44,83.53,1306.65,55739.48,0.99,188,1477
NAS,10.0,40000.0,2000.0,1.5,25.11,45.83,54.8,25.11,0.0,0.0,188,1480
SAN,5.0,1000000.0,22000.0,2.5,1280.08,1532.43,83.53,1306.65,53031.38,1.29,188,1480
NAS,10.0,40000.0,2000.0,1.5,25.11,45.83,54.8,25.11,0.0,0.0,188,1482
SAN,5.0,1000000.0,22000.0,2.5,1280.09,1532.44,83.53,1306.65,52381.73,0.88,188,1482
NAS,10.0,40000.0,2000.0,1.5,25.11,45.83,54.8,25.11,0.0,0.0,188,1484
SAN,5.0,1000000.0,22000.0,2.5,1280.07,1532.44,83.53,1306.65,60037.61,1.38,188,1484
NAS,10.0,40000.0,2000.0,1.5,25.11,45.83,54.8,25.11,0.0,0.0,188,1487
SAN,5.0,1000000.0,22000.0,2.5,1280.09,1532.44,83.53,1306.65,48184.07,0.69,188,1487
NAS,10.0,40000.0,2000.0,1.5,25.35,45.83,55.33,25.35,0.0,0.0,188,1489
SAN,5.0,1000000.0,22000.0,2.5,1280.1,1532.44,83.53,1306.65,44442.45,0.46,188,1489
NAS,10.0,40000.0,2000.0,1.5,25.35,45.83,55.33,25.35,0.0,0.0,188,1491
SAN,5.0,1000000.0,22000.0,2.5,1280.17,1532.43,83.54,1306.65,62243.61,0.56,188,1491
NAS,10.0,40000.0,2000.0,1.5,25.13,45.83,54.82,25.13,0.0,0.0,188,1494
SAN,5.0,1000000.0,22000.0,2.5,1280.27,1532.44,83.54,1306.65,42721.47,0.54,188,1494
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1495
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1496
SAN,5.0,900000.0,20000.0,2.38,997.05,1236.62,80.63,1023.4,44292.04,0.49,188,1496
NAS,10.0,40000.0,2000.0,1.5,25.24,45.83,55.07,25.24,0.0,0.0,188,1498
SAN,5.0,1000000.0,22000.0,2.5,1280.56,1532.44,83.56,1306.65,46799.62,0.61,188,1498
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1501
SAN,5.0,1000000.0,22000.0,2.5,1280.29,1532.44,83.55,1306.65,44143.23,0.53,188,1501
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1502
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1503
SAN,5.0,1000000.0,22000.0,2.5,1280.28,1532.44,83.55,1306.65,48227.41,0.49,188,1503
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1505
SAN,5.0,1000000.0,22000.0,2.5,1280.68,1532.45,83.57,1306.65,48057.28,0.54,188,1505
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1508
SAN,5.0,1000000.0,22000.0,2.5,1280.6,1532.44,83.57,1306.65,42434.47,0.61,188,1508
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1509
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1510
SAN,5.0,1000000.0,22000.0,2.5,1280.75,1532.44,83.58,1306.65,49723.76,0.92,188,1510
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1512
SAN,5.0,1000000.0,22000.0,2.5,1280.37,1532.44,83.55,1306.65,52257.52,1.06,188,1512
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1515
SAN,5.0,1000000.0,22000.0,2.5,1280.61,1532.44,83.57,1306.65,50038.46,1.13,188,1515
SAN,5.0,1000000.0,22000.0,2.5,1280.36,1532.44,83.55,1306.65,49394.65,1.02,188,1517
SAN,5.0,800000.0,18000.0,2.38,1138.47,1365.07,83.4,1165.35,50415.33,1.54,188,1519
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1522
SAN,5.0,1000000.0,22000.0,2.5,1254.12,1532.08,81.86,1280.97,51016.05,0.85,188,1522
SAN,5.0,1000000.0,22000.0,2.5,1254.16,1532.44,81.84,1280.97,50677.65,0.76,188,1524
SAN,5.0,1000000.0,22000.0,2.5,1254.45,1532.45,81.86,1280.97,55403.45,1.25,188,1526
SAN,5.0,1000000.0,22000.0,2.5,1254.21,1532.44,81.84,1280.97,55585.0,0.72,188,1529
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1531
SAN,5.0,1000000.0,22000.0,2.5,1254.23,1532.44,81.85,1280.97,55521.74,1.32,188,1531
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1533
SAN,5.0,1000000.0,22000.0,2.5,1254.48,1532.44,81.86,1280.97,59719.17,1.43,188,1533
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1536
SAN,5.0,1000000.0,22000.0,2.5,1254.27,1532.44,81.85,1280.97,51416.24,0.67,188,1536
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1538
SAN,5.0,1000000.0,22000.0,2.5,1254.27,1532.43,81.85,1280.97,51492.08,0.64,188,1538
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1540
SAN,5.0,1000000.0,22000.0,2.5,1254.5,1532.43,81.86,1280.97,53376.18,0.69,188,1540
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1543
SAN,5.0,1000000.0,22000.0,2.5,1254.3,1532.44,81.85,1280.97,52607.32,0.73,188,1543
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1545
SAN,5.0,1000000.0,22000.0,2.5,1254.29,1532.44,81.85,1280.97,48668.33,0.72,188,1545
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1547
SAN,5.0,1000000.0,22000.0,2.5,1254.53,1532.43,81.87,1280.97,52089.44,0.74,188,1547
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1550
SAN,5.0,1000000.0,22000.0,2.5,1254.32,1532.44,81.85,1280.97,41515.4,0.85,188,1550
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1552
SAN,5.0,1000000.0,22000.0,2.5,1254.64,1532.44,81.87,1280.97,43198.62,0.76,188,1552
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1554
SAN,5.0,800000.0,18000.0,2.38,1119.45,1365.07,82.01,1145.82,46651.25,0.86,188,1554
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1557
SAN,5.0,1000000.0,22000.0,2.5,1254.41,1532.44,81.86,1280.97,44950.87,0.67,188,1557
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1559
SAN,5.0,1000000.0,22000.0,2.5,1254.41,1532.44,81.86,1280.97,41901.95,0.73,188,1559
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1561
SAN,5.0,1000000.0,22000.0,2.5,1254.86,1532.45,81.89,1280.97,47060.57,0.69,188,1561
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1564
SAN,5.0,1000000.0,22000.0,2.5,1255.76,1532.44,81.95,1281.72,41559.53,0.81,188,1564
NAS,10.0,40000.0,2000.0,1.5,25.12,45.83,54.82,25.12,0.0,0.0,188,1566
SAN,5.0,1000000.0,22000.0,2.5,1255.79,1532.44,81.95,1281.72,40009.89,0.6,188,1566
NAS,10.0,40000.0,2000.0,1.5,25.12,41.06,61.19,30.86,0.0,0.0,188,1568
SAN,5.0,1000000.0,22000.0,2.5,1256.12,1532.45,81.97,1281.72,45750.38,0.56,188,1568
NAS,10.0,40000.0,2000.0,1.5,25.12,41.06,61.19,30.86,0.0,0.0,188,1571
SAN,5.0,1000000.0,22000.0,2.5,1257.76,1532.44,82.08,1284.1,37615.63,0.53,188,1571
NAS,10.0,40000.0,2000.0,1.5,25.12,41.06,61.19,30.86,0.0,0.0,188,1573
SAN,5.0,1000000.0,22000.0,2.5,1257.75,1532.44,82.08,1284.1,36970.66,0.46,188,1573
NAS,10.0,40000.0,2000.0,1.5,25.12,41.06,61.19,30.86,0.0,0.0,188,1575
SAN,5.0,1000000.0,22000.0,2.5,1258.3,1532.44,82.11,1284.8,41788.65,0.53,188,1575
NAS,10.0,40000.0,2000.0,1.5,25.22,41.06,61.43,30.56,0.0,0.0,188,1578
SAN,5.0,1000000.0,22000.0,2.5,1258.34,1532.44,82.11,1285.1,35413.63,0.49,188,1578
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1580
SAN,5.0,1000000.0,22000.0,2.5,1258.39,1532.44,82.12,1285.1,36134.69,0.49,188,1580
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1582
SAN,5.0,1000000.0,22000.0,2.5,1258.8,1532.45,82.14,1285.1,40263.76,0.53,188,1582
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1585
SAN,5.0,1000000.0,22000.0,2.5,1258.57,1532.44,82.13,1285.25,37096.96,0.52,188,1585
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1587
SAN,5.0,1000000.0,22000.0,2.5,1258.58,1532.44,82.13,1285.25,36609.68,0.53,188,1587
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1589
