data_center,device_type_code,count,device_type_description,cpu_util,latency_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
Backend,COMPELLENT_DEVICE,2,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1468
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1468
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,554.46,725.93,76.38,581.04,188,1468
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1468
Backend,COMPELLENT_DEVICE,2,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1470
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1470
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,554.79,725.93,76.43,581.04,188,1470
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1470
Backend,COMPELLENT_DEVICE,2,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1473
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1473
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,554.49,725.93,76.38,581.04,188,1473
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1473
Backend,COMPELLENT_DEVICE,2,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1475
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1475
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,554.49,725.92,76.38,581.04,188,1475
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1475
Backend,COMPELLENT_DEVICE,2,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1477
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1477
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,554.5,725.92,76.39,581.04,188,1477
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1477
Backend,COMPELLENT_DEVICE,2,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1480
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1480
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,554.5,725.92,76.39,581.04,188,1480
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.11,45.83,54.8,25.11,188,1480
Backend,COMPELLENT_DEVICE,2,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1482
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1482
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,554.51,725.93,76.39,581.04,188,1482
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.11,45.83,54.8,25.11,188,1482
Backend,COMPELLENT_DEVICE,2,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1484
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1484
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,554.5,725.93,76.38,581.04,188,1484
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.11,45.83,54.8,25.11,188,1484
Backend,COMPELLENT_DEVICE,2,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1487
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1487
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,554.51,725.93,76.39,581.04,188,1487
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.11,45.83,54.8,25.11,188,1487
Backend,COMPELLENT_DEVICE,2,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1489
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1489
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,554.52,725.93,76.39,581.04,188,1489
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1489
Backend,COMPELLENT_DEVICE,2,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1491
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1491
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,554.6,725.92,76.4,581.04,188,1491
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1491
Backend,COMPELLENT_DEVICE,2,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1494
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1494
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,554.69,725.93,76.41,581.04,188,1494
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.13,45.83,54.82,25.13,188,1494
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1495
Backend,COMPELLENT_DEVICE,1,EMC Compellent Device,100.0,5.0,3.0,307.2,343.33,89.48,307.2,188,1496
