data_center,classification,ttl_latency_capacity,ttl_iops_capacity,ttl_mbsec_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,ttl_iops,ttl_latency,client_id,period_id
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,8129.92,0.0,188,1468
Plano,SAN,6.666666,640000.0,16000.0,1.67,579.82,771.75,75.13,606.4,51285.71,1.13,188,1468
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7150.42,0.0,188,1470
Plano,SAN,6.666666,640000.0,16000.0,1.67,580.15,771.76,75.17,606.4,56918.47,1.62,188,1470
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6269.0,0.0,188,1473
Plano,SAN,6.666666,640000.0,16000.0,1.67,579.84,771.76,75.13,606.4,49392.22,1.21,188,1473
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,8445.0,0.0,188,1475
Plano,SAN,6.666666,640000.0,16000.0,1.67,579.85,771.75,75.13,606.4,47488.61,1.05,188,1475
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,5960.67,0.0,188,1477
Plano,SAN,6.666666,640000.0,16000.0,1.67,579.85,771.75,75.13,606.4,49778.81,1.11,188,1477
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6214.08,0.0,188,1480
Plano,SAN,6.666666,640000.0,16000.0,1.67,579.62,771.75,75.1,606.15,46817.3,1.46,188,1480
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7714.33,0.0,188,1482
Plano,SAN,6.666666,640000.0,16000.0,1.67,579.62,771.76,75.1,606.15,44667.4,1.03,188,1482
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7155.92,0.0,188,1484
Plano,SAN,6.666666,640000.0,16000.0,1.67,579.61,771.76,75.1,606.15,52881.69,1.57,188,1484
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7238.83,0.0,188,1487
Plano,SAN,6.666666,640000.0,16000.0,1.67,579.62,771.75,75.1,606.15,40945.24,0.81,188,1487
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7631.5,0.0,188,1489
Plano,SAN,6.666666,640000.0,16000.0,1.67,579.87,771.76,75.14,606.4,36810.95,0.55,188,1489
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6139.5,0.0,188,1491
Plano,SAN,6.666666,640000.0,16000.0,1.67,579.95,771.75,75.15,606.4,56104.11,0.62,188,1491
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6197.0,0.0,188,1494
Plano,SAN,6.666666,640000.0,16000.0,1.67,579.82,771.76,75.13,606.17,36524.47,0.63,188,1494
Plano,NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1495
Backend,SAN,5.0,300000.0,6000.0,3.0,442.33,510.7,86.61,442.36,7570.75,0.0,188,1496
Plano,SAN,6.666666,640000.0,16000.0,1.67,579.85,771.76,75.13,606.17,36721.29,0.59,188,1496
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,5730.83,0.0,188,1498
Plano,SAN,6.666666,640000.0,16000.0,1.67,580.22,771.76,75.18,606.28,41068.79,0.69,188,1498
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6070.58,0.0,188,1501
Plano,SAN,6.666666,640000.0,16000.0,1.67,579.84,771.76,75.13,606.17,38072.65,0.61,188,1501
Plano,NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1502
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,8138.75,0.0,188,1503
Plano,SAN,6.666666,640000.0,16000.0,1.67,579.83,771.76,75.13,606.17,40088.66,0.59,188,1503
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6481.92,0.0,188,1505
Plano,SAN,6.666666,640000.0,16000.0,1.67,580.22,771.77,75.18,606.17,41575.36,0.63,188,1505
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7236.17,0.0,188,1508
Plano,SAN,6.666666,640000.0,16000.0,1.67,580.15,771.76,75.17,606.17,35198.3,0.74,188,1508
Plano,NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1509
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7877.92,0.0,188,1510
Plano,SAN,6.666666,640000.0,16000.0,1.67,580.3,771.76,75.19,606.17,41845.84,1.1,188,1510
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7368.92,0.0,188,1512
Plano,SAN,6.666666,640000.0,16000.0,1.67,579.92,771.76,75.14,606.17,44888.6,1.23,188,1512
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6790.42,0.0,188,1515
Plano,SAN,6.666666,640000.0,16000.0,1.67,580.18,766.99,75.64,611.61,43248.04,1.31,188,1515
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7077.83,0.0,188,1517
Plano,SAN,5.0,600000.0,14000.0,1.75,554.78,725.93,76.42,581.04,42316.82,1.19,188,1517
Backend,SAN,5.0,200000.0,4000.0,3.0,590.45,639.14,92.38,590.45,0.0,0.0,188,1519
Plano,SAN,5.0,600000.0,14000.0,1.75,548.03,725.93,75.49,574.9,50415.33,1.54,188,1519
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6222.17,0.0,188,1522
Plano,SAN,6.666666,640000.0,16000.0,1.67,553.69,766.63,72.22,585.93,44793.88,0.96,188,1522
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7613.0,0.0,188,1524
Plano,SAN,5.0,600000.0,14000.0,1.75,528.58,725.93,72.81,555.37,43064.65,0.89,188,1524
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6168.0,0.0,188,1526
Plano,SAN,5.0,600000.0,14000.0,1.75,528.88,725.94,72.85,555.37,49235.45,1.4,188,1526
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6198.42,0.0,188,1529
Plano,SAN,5.0,600000.0,14000.0,1.75,528.64,725.92,72.82,555.37,49386.58,0.81,188,1529
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7516.17,0.0,188,1531
Plano,SAN,6.666666,640000.0,16000.0,1.67,553.78,771.75,71.76,580.49,48005.57,1.53,188,1531
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6205.58,0.0,188,1533
Plano,SAN,6.666666,640000.0,16000.0,1.67,554.03,771.76,71.79,580.49,53513.59,1.6,188,1533
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6440.08,0.0,188,1536
Plano,SAN,6.666666,640000.0,16000.0,1.67,553.82,771.75,71.76,580.49,44976.16,0.77,188,1536
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7569.08,0.0,188,1538
Plano,SAN,6.666666,640000.0,16000.0,1.67,553.82,771.75,71.76,580.49,43923.0,0.75,188,1538
