geography,device_type_code,id,device_type_description,array_name,upload_id,cpu_util,latency_capacity,data_mover_capacity,tier,price_per_gb,ttl_iops,ttl_latency,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
Unmapped,SVC_DEVICE,71991,IBM SVC Device,SVCP8,120530,100.0,5.0,-1.0,1,$1.75 ,10098.61,0.31,28.31,52.22,54.21,52.93,188,1468
Unmapped,SVC_DEVICE,71993,IBM SVC Device,AHISSVC,120531,100.0,5.0,-1.0,1,$1.75 ,41187.1,1.33,526.16,673.7,78.1,528.11,188,1468
Unmapped,COMPELLENT_DEVICE,71988,EMC Compellent Device,Ascension_30832,120527,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1468
Unmapped,UNITY_DEVICE,71986,EMC Unity Device,AHISUNITY,120525,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.35,45.83,55.33,25.35,188,1468
Unmapped,COMPELLENT_DEVICE,71987,EMC Compellent Device,Ascension_78970,120526,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1468
Unmapped,VMAX_DEVICE,71989,EMC VMax Device,VMAX-195702745,120529,100.0,5.0,-1.0,1,$3.00 ,8129.92,0.0,135.13,167.37,80.74,135.16,188,1468
Unmapped,SVC_DEVICE,72200,IBM SVC Device,SVCP8,120867,100.0,5.0,-1.0,1,$1.75 ,9994.46,0.32,28.64,52.23,54.83,52.93,188,1470
Unmapped,SVC_DEVICE,72202,IBM SVC Device,AHISSVC,120868,100.0,5.0,-1.0,1,$1.75 ,46924.01,1.9,526.16,673.7,78.1,528.11,188,1470
Unmapped,UNITY_DEVICE,72195,EMC Unity Device,AHISUNITY,120862,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.35,45.83,55.33,25.35,188,1470
Unmapped,VMAX_DEVICE,72198,EMC VMax Device,VMAX-195702745,120866,100.0,5.0,-1.0,1,$3.00 ,7150.42,0.0,135.13,167.37,80.74,135.16,188,1470
Unmapped,COMPELLENT_DEVICE,72196,EMC Compellent Device,Ascension_78970,120863,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1470
Unmapped,COMPELLENT_DEVICE,72197,EMC Compellent Device,Ascension_30832,120864,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1470
Unmapped,SVC_DEVICE,72566,IBM SVC Device,SVCP8,121402,100.0,5.0,-1.0,1,$1.75 ,9881.43,0.34,28.33,52.23,54.24,52.93,188,1473
Unmapped,SVC_DEVICE,72603,IBM SVC Device,AHISSVC,121415,100.0,5.0,-1.0,1,$1.75 ,39510.79,1.43,526.16,673.7,78.1,528.11,188,1473
Unmapped,COMPELLENT_DEVICE,72523,EMC Compellent Device,Ascension_78970,121397,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1473
Unmapped,VMAX_DEVICE,72534,EMC VMax Device,VMAX-195702745,121400,100.0,5.0,-1.0,1,$3.00 ,6269.0,0.0,135.13,167.37,80.74,135.16,188,1473
Unmapped,UNITY_DEVICE,72516,EMC Unity Device,AHISUNITY,121394,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.35,45.83,55.33,25.35,188,1473
Unmapped,COMPELLENT_DEVICE,72524,EMC Compellent Device,Ascension_30832,121398,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1473
Unmapped,SVC_DEVICE,73574,IBM SVC Device,SVCP8,122760,100.0,5.0,-1.0,1,$1.75 ,9851.15,0.32,28.33,52.22,54.25,52.93,188,1475
Unmapped,SVC_DEVICE,73610,IBM SVC Device,AHISSVC,122768,100.0,5.0,-1.0,1,$1.75 ,37637.46,1.24,526.16,673.7,78.1,528.11,188,1475
Unmapped,COMPELLENT_DEVICE,73541,EMC Compellent Device,Ascension_78970,122751,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1475
Unmapped,COMPELLENT_DEVICE,73543,EMC Compellent Device,Ascension_30832,122754,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1475
Unmapped,UNITY_DEVICE,73534,EMC Unity Device,AHISUNITY,122747,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.35,45.83,55.33,25.35,188,1475
Unmapped,VMAX_DEVICE,73547,EMC VMax Device,VMAX-195702745,122756,100.0,5.0,-1.0,1,$3.00 ,8445.0,0.0,135.13,167.37,80.74,135.16,188,1475
Unmapped,SVC_DEVICE,74057,IBM SVC Device,SVCP8,123493,100.0,5.0,-1.0,1,$1.75 ,10355.97,0.32,28.34,52.22,54.26,52.93,188,1477
Unmapped,SVC_DEVICE,74090,IBM SVC Device,AHISSVC,123501,100.0,5.0,-1.0,1,$1.75 ,39422.84,1.32,526.16,673.7,78.1,528.11,188,1477
Unmapped,COMPELLENT_DEVICE,74022,EMC Compellent Device,Ascension_30832,123487,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1477
Unmapped,VMAX_DEVICE,74028,EMC VMax Device,VMAX-195702745,123490,100.0,5.0,-1.0,1,$3.00 ,5960.67,0.0,135.13,167.37,80.74,135.16,188,1477
Unmapped,UNITY_DEVICE,74015,EMC Unity Device,AHISUNITY,123483,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.35,45.83,55.33,25.35,188,1477
Unmapped,COMPELLENT_DEVICE,74019,EMC Compellent Device,Ascension_78970,123486,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1477
Unmapped,SVC_DEVICE,74537,IBM SVC Device,SVCP8,124309,100.0,5.0,-1.0,1,$1.75 ,10117.32,0.32,28.34,52.22,54.28,52.93,188,1480
Unmapped,SVC_DEVICE,74574,IBM SVC Device,AHISSVC,124318,100.0,5.0,-1.0,1,$1.75 ,36699.98,1.78,526.16,673.7,78.1,528.11,188,1480
Unmapped,COMPELLENT_DEVICE,74503,EMC Compellent Device,Ascension_30832,124302,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1480
