geography,device_type_code,device_type_description,cpu_util,latency_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1468
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.46,725.93,76.38,581.04,188,1468
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1468
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1468
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1470
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.79,725.93,76.43,581.04,188,1470
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1470
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1470
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1473
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.49,725.93,76.38,581.04,188,1473
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1473
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1473
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1475
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.49,725.92,76.38,581.04,188,1475
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1475
