geography,ttl_latency_capacity,ttl_iops_capacity,ttl_mbsec_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,ttl_iops,ttl_latency,client_id,period_id
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.4,1578.26,82.71,1332.0,59415.63,0.97,188,1468
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.72,1578.27,82.73,1332.0,64068.89,1.44,188,1470
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.42,1578.27,82.71,1332.0,55661.22,1.08,188,1473
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.42,1578.26,82.71,1332.0,55933.61,0.89,188,1475
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.43,1578.26,82.71,1332.0,55739.48,0.99,188,1477
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.19,1578.26,82.7,1331.76,53031.38,1.29,188,1480
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.2,1578.27,82.7,1331.76,52381.73,0.88,188,1482
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.19,1578.27,82.7,1331.76,60037.61,1.38,188,1484
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.2,1578.26,82.7,1331.76,48184.07,0.69,188,1487
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.45,1578.27,82.71,1332.0,44442.45,0.46,188,1489
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.53,1578.26,82.72,1332.0,62243.61,0.56,188,1491
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.39,1578.27,82.71,1331.77,42721.47,0.54,188,1494
Unmapped,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1495
Unmapped,6.0,940000.0,22000.0,2.2,1022.17,1282.45,79.7,1048.52,44292.04,0.49,188,1496
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.8,1578.27,82.74,1331.89,46799.62,0.61,188,1498
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.42,1578.27,82.71,1331.77,44143.23,0.53,188,1501
Unmapped,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1502
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.41,1578.27,82.71,1331.77,48227.41,0.49,188,1503
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.8,1578.28,82.74,1331.77,48057.28,0.54,188,1505
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.72,1578.27,82.73,1331.77,42434.47,0.61,188,1508
Unmapped,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1509
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.87,1578.27,82.74,1331.77,49723.76,0.92,188,1510
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.5,1578.27,82.72,1331.77,52257.52,1.06,188,1512
Unmapped,5.833333,1040000.0,24000.0,2.33,1305.75,1573.5,82.98,1337.21,50038.46,1.13,188,1515
Unmapped,5.0,1000000.0,22000.0,2.5,1280.36,1532.44,83.55,1306.65,49394.65,1.02,188,1517
Unmapped,5.0,800000.0,18000.0,2.38,1138.47,1365.07,83.4,1165.35,50415.33,1.54,188,1519
Unmapped,5.833333,1040000.0,24000.0,2.33,1279.26,1573.14,81.32,1311.54,51016.05,0.85,188,1522
Unmapped,5.0,1000000.0,22000.0,2.5,1254.16,1532.44,81.84,1280.97,50677.65,0.76,188,1524
Unmapped,5.0,1000000.0,22000.0,2.5,1254.45,1532.45,81.86,1280.97,55403.45,1.25,188,1526
Unmapped,5.0,1000000.0,22000.0,2.5,1254.21,1532.44,81.84,1280.97,55585.0,0.72,188,1529
Unmapped,5.833333,1040000.0,24000.0,2.33,1279.36,1578.27,81.06,1306.1,55521.74,1.32,188,1531
Unmapped,5.833333,1040000.0,24000.0,2.33,1279.6,1578.27,81.08,1306.1,59719.17,1.43,188,1533
Unmapped,5.833333,1040000.0,24000.0,2.33,1279.4,1578.27,81.06,1306.1,51416.24,0.67,188,1536
Unmapped,5.833333,1040000.0,24000.0,2.33,1279.39,1578.26,81.06,1306.1,51492.08,0.64,188,1538
Unmapped,5.833333,1040000.0,24000.0,2.33,1279.62,1578.26,81.08,1306.1,53376.18,0.69,188,1540
Unmapped,5.833333,1040000.0,24000.0,2.33,1279.43,1578.26,81.07,1306.1,52607.32,0.73,188,1543
Unmapped,5.833333,1040000.0,24000.0,2.33,1279.41,1578.26,81.06,1306.1,48668.33,0.72,188,1545
Unmapped,5.833333,1040000.0,24000.0,2.33,1279.65,1578.26,81.08,1306.1,52089.44,0.74,188,1547
Unmapped,5.833333,1040000.0,24000.0,2.33,1279.46,1573.49,81.31,1311.54,41515.4,0.85,188,1550
Unmapped,5.833333,1040000.0,24000.0,2.33,1279.76,1578.27,81.09,1306.1,43198.62,0.76,188,1552
Unmapped,6.0,840000.0,20000.0,2.2,1144.57,1410.9,81.12,1170.94,46651.25,0.86,188,1554
Unmapped,5.833333,1040000.0,24000.0,2.33,1279.53,1578.27,81.07,1306.1,44950.87,0.67,188,1557
Unmapped,5.833333,1040000.0,24000.0,2.33,1279.53,1578.27,81.07,1306.1,41901.95,0.73,188,1559
Unmapped,5.833333,1040000.0,24000.0,2.33,1279.99,1578.28,81.1,1306.1,47060.57,0.69,188,1561
Unmapped,5.833333,1040000.0,24000.0,2.33,1280.89,1578.27,81.16,1306.85,41559.53,0.81,188,1564
Unmapped,5.833333,1040000.0,24000.0,2.33,1280.91,1578.27,81.16,1306.85,40009.89,0.6,188,1566
Unmapped,5.833333,1040000.0,24000.0,2.33,1281.25,1573.51,81.43,1312.59,45750.38,0.56,188,1568
Unmapped,5.833333,1040000.0,24000.0,2.33,1282.88,1573.5,81.53,1314.97,37615.63,0.53,188,1571
Unmapped,5.833333,1040000.0,24000.0,2.33,1282.87,1573.5,81.53,1314.97,36970.66,0.46,188,1573
Unmapped,5.833333,1040000.0,24000.0,2.33,1283.42,1573.5,81.56,1315.67,41788.65,0.53,188,1575
Unmapped,5.833333,1040000.0,24000.0,2.33,1283.56,1573.49,81.57,1315.67,35413.63,0.49,188,1578
Unmapped,5.833333,1040000.0,24000.0,2.33,1283.53,1573.49,81.57,1315.67,36134.69,0.49,188,1580
Unmapped,5.833333,1040000.0,24000.0,2.33,1283.94,1573.51,81.6,1315.67,40263.76,0.53,188,1582
Unmapped,5.833333,1040000.0,24000.0,2.33,1283.71,1573.5,81.58,1315.82,37096.96,0.52,188,1585
Unmapped,5.833333,1040000.0,24000.0,2.33,1283.72,1573.49,81.58,1315.82,36609.68,0.53,188,1587
Unmapped,5.833333,1040000.0,24000.0,2.33,1284.06,1573.5,81.61,1315.83,41603.67,0.56,188,1589
Unmapped,5.833333,1040000.0,24000.0,2.33,1283.73,1573.5,81.58,1315.83,42420.03,0.45,188,1592
Unmapped,5.833333,1040000.0,24000.0,2.33,1283.78,1573.49,81.59,1315.83,41267.35,0.46,188,1594
Unmapped,5.833333,1040000.0,24000.0,2.33,1284.18,1573.5,81.61,1315.83,42802.3,0.45,188,1596
Unmapped,5.833333,1040000.0,24000.0,2.33,1284.41,1573.49,81.63,1316.43,40820.75,0.49,188,1599
Unmapped,5.833333,1040000.0,24000.0,2.33,1284.36,1573.49,81.62,1316.43,39681.98,0.47,188,1601
Unmapped,5.833333,1040000.0,24000.0,2.33,1284.74,1573.49,81.65,1316.43,46243.23,0.42,188,1603
Unmapped,5.833333,1040000.0,24000.0,2.33,1284.4,1573.49,81.63,1316.43,40459.72,0.49,188,1606
